ID,studyID,created_at,senator,text,source,is_quote,likes,retweets,hashtags,urls_url,link,urls_t.co,urls_expanded_url,media_or_link,media_url,media_t.co,media_expanded_url,media_type,mentions_screen_name,lang,quoted_text,quoted_created_at,quoted_source,quoted_like_count,quoted_retweet_count,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,status_url,name,sen_race,sen_gender,location,description,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,party,party2,coder1,coder2,coder1_category,coder2_category,coders_agreed,engage,dismiss,neither,category,ideology,followers,year,year2,length,1a_code,in_1a,TOXICITY,allnone,certitude,tone_pos,tone_neg,polite,moral
1,DD15,5/12/21 22:41,SenatorBaldwin,Too many Congressional Republicans are afraid to tell the truth and stand up to Trump's big lie that the election was stolen from him. It wasn't. The truth is Trump lost fair and square.,Twitter Web App,FALSE,240,43,,jsonline.com/story/news/pol…,yes,https://t.co/gLt8fjfu22,https://www.jsonline.com/story/news/politics/2021/05/11/wisconsin-republicans-vote-oust-liz-cheney-gop-leadership/5034929001/,yes,,,,,,en,,,,,,,,,,,,,,https://twitter.com/SenatorBaldwin/status/1392610852692504579,Sen. Tammy Baldwin,white,female,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",FALSE,136672,2647,2530,16118,489,1/9/13 18:29,TRUE,http://t.co/p7vErFeoRD,http://www.baldwin.senate.gov/,democrat,democrat,Lara,Sebastian,dismiss,dismiss,1,0,1,0,dismiss,-0.493,13.6672,2021,12,186,no_match,no_match,0.2406723,0,0,2.94,5.88,0,0
2,,4/9/21 19:00,SenatorBaldwin,"The time is now for Wisconsin Republicans in the State Legislature to do the right thing, listen to the people of our state, and seize this opportunity to expand health care coverage and save taxpayers money.",Twitter Media Studio,FALSE,329,64,,,,,,yes,http://pbs.twimg.com/media/EyjcvYlXMAM6riu.jpg,https://t.co/IuuEYUHPHj,https://twitter.com/SenatorBaldwin/status/1380596442654519296/video/1,photo,,en,,,,,,,,,,,,,,https://twitter.com/SenatorBaldwin/status/1380596442654519296,Sen. Tammy Baldwin,white,female,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",FALSE,136672,2647,2530,16118,489,1/9/13 18:29,TRUE,http://t.co/p7vErFeoRD,http://www.baldwin.senate.gov/,democrat,democrat,Lara,Sebastian,neither,neither,1,0,0,1,neither,-0.493,13.6672,2021,12,208,no_match,no_match,0.01492445,0,0,5.56,0,0,0
3,DD16,3/24/21 18:35,SenatorBaldwin,"Voting rights should not be a partisan issue, but Senate Republicans can't give up promoting Trump's conspiracy theories and his big lie that the election was stolen from him. It wasn't, he lost fair and square. Now let's pass the #ForThePeople Act and John Lewis #VotingRightsAct",Twitter Web App,FALSE,322,106,ForThePeople VotingRightsAct,,,,,yes,http://pbs.twimg.com/media/ExQ9-a4WgAQ7jDH.jpg,https://t.co/hUnvw8JlU3,https://twitter.com/SenatorBaldwin/status/1374791968132362240/photo/1,photo,,en,,,,,,,,,,,,,,https://twitter.com/SenatorBaldwin/status/1374791968132362240,Sen. Tammy Baldwin,white,female,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",FALSE,136672,2647,2530,16118,489,1/9/13 18:29,TRUE,http://t.co/p7vErFeoRD,http://www.baldwin.senate.gov/,democrat,democrat,Lara,Sebastian,dismiss,dismiss,1,0,1,0,dismiss,-0.493,13.6672,2021,12,280,no_match,no_match,0.20742953,0,0,2.17,2.17,0,0
4,,3/17/21 19:22,SenatorBaldwin,Voting rights should not be a partisan issue but Republicans in Wisconsin and Washington want to make it harder for you to vote. I believe every American should have their voice heard so I'm working to protect your voting rights by passing the John Lewis #VotingRightsAct.,Twitter Media Studio,FALSE,358,87,VotingRightsAct,,,,,yes,http://pbs.twimg.com/media/EwsV89mWQAQNirY.jpg,https://t.co/1nQILbeRTO,https://twitter.com/SenatorBaldwin/status/1372267140133363717/photo/1,photo,,en,,,,,,,,,,,,,,https://twitter.com/SenatorBaldwin/status/1372267140133363717,Sen. Tammy Baldwin,white,female,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",FALSE,136672,2647,2530,16118,489,1/9/13 18:29,TRUE,http://t.co/p7vErFeoRD,http://www.baldwin.senate.gov/,democrat,democrat,Lara,Sebastian,neither,neither,1,0,0,1,neither,-0.493,13.6672,2021,12,272,no_match,no_match,0.017354012,2.17,0,0,0,0,0
5,,3/12/21 16:42,SenatorBaldwin,The #AmericanRescuePlan provides tax credits to working families that will help reduce child poverty. Some Republicans say this is unnecessary but I believe we have a moral responsibility to lift children out of poverty.,Twitter Web App,FALSE,107,29,AmericanRescuePlan,spectrumnews1.com/wi/milwaukee/n…,yes,https://t.co/cLP2PRCix5,https://spectrumnews1.com/wi/milwaukee/news/2021/03/11/child-tax-credit-changes-to-boost-support-for-families--wisconsin-lawmakers-respond,yes,,,,,,en,,,,,,,,,,,,,,https://twitter.com/SenatorBaldwin/status/1370414851898626049,Sen. Tammy Baldwin,white,female,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",FALSE,136672,2647,2530,16118,489,1/9/13 18:29,TRUE,http://t.co/p7vErFeoRD,http://www.baldwin.senate.gov/,democrat,democrat,Lara,Sebastian,neither,neither,1,0,0,1,neither,-0.493,13.6672,2021,12,220,no_match,no_match,0.022074303,0,0,2.94,0,0,2.94
6,,11/9/20 19:05,SenatorBaldwin,"Tomorrow, #SCOTUS will hear the Republican lawsuit supported by Trump to overturn the #ACA entirely, including protections for people with pre-existing health conditions. During an ongoing pandemic, we should be working together to #ProtectOurCare.",TweetDeck,FALSE,547,217,SCOTUS ACA ProtectOurCare,nbcnews.com/politics/supre…,yes,https://t.co/nioJDsDMDI,https://www.nbcnews.com/politics/supreme-court/supreme-court-hear-arguments-showdown-over-obamacare-n1246969,yes,,,,,,en,,,,,,,,,,,,,,https://twitter.com/SenatorBaldwin/status/1325877063908163584,Sen. Tammy Baldwin,white,female,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",FALSE,136672,2647,2530,16118,489,1/9/13 18:29,TRUE,http://t.co/p7vErFeoRD,http://www.baldwin.senate.gov/,democrat,democrat,Lara,Sebastian,neither,neither,1,0,0,1,neither,-0.493,13.6672,2020,11,248,no_match,no_match,0.010065327,0,2.94,8.82,2.94,0,0
7,,10/12/20 19:18,SenatorBaldwin,Wisconsin has the worst spike of #COVID19 cases and we are weeks from an election. Senate Republicans are wrong to push Trump's #SCOTUS nominee forward while people are voting to do what he wants - overturn the #ACA & terminate health care during a deadly pandemic. #WhatsAtStake,TweetDeck,TRUE,505,192,COVID19 SCOTUS ACA WhatsAtStake,twitter.com/SenateDems/sta…,yes,https://t.co/IDsdvN0aBm,https://twitter.com/SenateDems/status/1314724458561769473,yes,,,,,,en,"A vote to confirm Judge Barrett is a vote to ""terminate"" the Affordable Care Act. https://t.co/2GNs7PFCVa",10/10/20 0:28,Twitter Media Studio,491,290,SenateDems,Senate Democrats,1197071,2361,28443,"Washington, DC",We are the Senate Democratic Majority. It is past time for a Senate that works for everyone.,TRUE,https://twitter.com/SenatorBaldwin/status/1315733569365577728,Sen. Tammy Baldwin,white,female,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",FALSE,136672,2647,2530,16118,489,1/9/13 18:29,TRUE,http://t.co/p7vErFeoRD,http://www.baldwin.senate.gov/,democrat,democrat,Lara,Sebastian,dismiss,neither,0,0,0,1,neither,-0.493,13.6672,2020,11,279,no_match,no_match,0.046122026,0,0,2.22,6.67,0,2.22
8,,9/11/20 21:36,SenatorBaldwin,"Local leaders from across Wisconsin agree: Senate Republicans need to support bipartisan legislation that delivers more federal funding for schools to safely reopen, and helps local governments pay essential workers and provide essential services.",Twitter Media Studio,FALSE,75,23,,,,,,yes,http://pbs.twimg.com/media/EhqiClpXsAAt3IG.jpg,https://t.co/1aV85LPo9F,https://twitter.com/SenatorBaldwin/status/1304534356627730433/video/1,photo,,en,,,,,,,,,,,,,,https://twitter.com/SenatorBaldwin/status/1304534356627730433,Sen. Tammy Baldwin,white,female,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",FALSE,136672,2647,2530,16118,489,1/9/13 18:29,TRUE,http://t.co/p7vErFeoRD,http://www.baldwin.senate.gov/,democrat,democrat,Lara,Sebastian,neither,neither,1,0,0,1,neither,-0.493,13.6672,2020,11,247,no_match,no_match,0.007115145,0,0,5.88,0,0,0
9,,7/27/20 16:38,SenatorBaldwin,"Last week, I called for a Senate vote to pass my legislation to increase national production of #PPE for our front line health care workers. Senate Republicans objected & continue to ignore the failure of @realDonaldTrump to deliver the medical supplies Wisconsin needs.",Twitter Web App,TRUE,277,123,PPE,twitter.com/journalsentine…,yes,https://t.co/L3dlo50t3c,https://twitter.com/journalsentinel/status/1287719905161359361,yes,,,,,realDonaldTrump,en,Wisconsin nursing homes worried about PPE shortages as coronavirus cases climb https://t.co/fhbjT9iXGJ,7/27/20 12:02,SocialNewsDesk,3,4,journalsentinel,Journal Sentinel,82961,2649,116691,"Milwaukee, WI",News from Milwaukee and Wisconsin. Also at  https://t.co/5XqRwZxR48 and https://t.co/uI7KIwYuLm.,TRUE,https://twitter.com/SenatorBaldwin/status/1287789393130983425,Sen. Tammy Baldwin,white,female,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",FALSE,136672,2647,2530,16118,489,1/9/13 18:29,TRUE,http://t.co/p7vErFeoRD,http://www.baldwin.senate.gov/,democrat,democrat,Lara,Sebastian,neither,neither,1,0,0,1,neither,-0.493,13.6672,2020,11,270,no_match,no_match,0.031185975,0,0,2.38,0,0,0
10,,2/12/20 20:32,SenatorBaldwin,"I support Senator Kaine's bipartisan war powers resolution to make sure President Trump comes to Congress first before starting another war in the Middle East. Democrats and Republicans agree, we can't send more young men and women to war and repeat the mistakes of the past.",TweetDeck,FALSE,144,21,,,,,,no,,,,,,en,,,,,,,,,,,,,,https://twitter.com/SenatorBaldwin/status/1227691977166196736,Sen. Tammy Baldwin,white,female,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",FALSE,136672,2647,2530,16118,489,1/9/13 18:29,TRUE,http://t.co/p7vErFeoRD,http://www.baldwin.senate.gov/,democrat,democrat,Lara,Sebastian,engage,neither,0,0,0,1,neither,-0.493,13.6672,2020,11,275,no_match,no_match,0.087430015,0,0,2.17,8.7,0,0
