StartDate,EndDate,Progress,Duration (in seconds),ResponseId,consent,english_check,age,gender_raw,gender,party_affil,use_twitter,interact_senator,RE_1,RE_2,RE_3,RE_4,RE_5,RE_6,RE_7,RE_8,RE_9,RE_10,RE_11,RE_12,RE_13,RE_14,RE_15,RE_16,RE_17,RE_18,RE_19,RE_20,RE_21,RE_22,RE_23,RE_24,RE_25,RD_1,RD_2,RD_3,RD_4,RD_5,RD_6,RD_7,RD_8,RD_9,RD_10,RD_11,RD_12,RD_13,RD_14,RD_15,RD_16,RD_17,RD_18,RD_19,RD_20,RD_21,RD_22,RD_23,RD_24,RD_25,RD_26,RD_27,RD_28,RD_29,RD_30,RD_31,RD_32,RD_33,RD_34,RD_35,RD_36,RD_37,RD_38,RD_39,RD_40,RD_41,RD_42,RD_43,RD_44,RD_45,RD_46,RD_47,RD_48,RD_49,RD_50,RD_51,RD_52,RD_53,DE_1,DE_2,DE_3,DE_4,DE_5,DE_6,DE_7,DE_8,DE_9,DE_10,DE_11,DE_12,DE_13,DE_14,DE_15,DE_16,DE_17,DE_18,DE_19,DE_20,DE_21,DE_22,DE_23,DE_24,DE_25,DE_26,DE_27,DE_28,DD_1,DD_2,DD_3,DD_4,DD_5,DD_6,DD_7,DD_8,DD_9,DD_10,DD_11,DD_12,DD_13,DD_14,DD_15,DD_16,DD_17,DD_18,DD_19,DD_20,DD_21,DD_22,DD_23,DD_24,DD_25,DD_26,DD_27,DD_28,DD_29,DD_30,DD_31,DD_32,DD_33,DD_34,DD_35,DD_36,DD_37,DD_38,DD_39,DD_40,DD_41,DD_42,DD_43,DD_44,DD_45,DD_46,DD_47,DD_48,DD_49,DD_50,DD_51,DD_52,DD_53,DD_54,DD_55,DD_56,DD_57,DD_58,DD_59,DD_60,DD_61,DD_62,DD_63,DD_64,DD_65,ideology,DEM_FT,REP_FT,ind_status,party_status,compromise,quality_check,comments
3/30/23 13:59,3/30/23 14:03,100,237,R_pSCun3qolLn7smB,1,2,33,female,female,1,1,2,,,,,1,,2,,,,,,,1,,1,,,,,,,,,1,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,93,3,6,3,1,
3/30/23 14:02,3/30/23 14:05,100,188,R_3NxgdZ4JwWCuAen,1,2,40,male,male,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,2,,,,,,1,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,5,,,4,35,20,2,5,5,1,
3/30/23 14:10,3/30/23 14:13,100,222,R_Z29SLXRW6pBj9SN,1,2,52,female,female,3,1,1,1,,,,,2,,,,,,,1,,,,,2,,,,,,2,,,,,5,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,75,65,2,3,6,1,
3/30/23 14:08,3/30/23 14:15,100,424,R_tSqczFbmM0wVhsZ,1,2,64,Female,female,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,2,,,,,,,1,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5,,7,61,38,5,5,5,1,
3/30/23 14:10,3/30/23 14:16,100,338,R_2aK1gNi9LGpl3F3,1,2,36,Male,male,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,2,,,,,,2,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,5,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,5,70,67,4,4,7,1,
3/30/23 14:14,3/30/23 14:18,100,217,R_3OcVwBKoW4XDE8m,1,2,43,Male,male,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,2,,,,,,,,,2,,,1,,,,,,,,,,4,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,3,,,,,,,7,0,0,2,4,4,1,
3/30/23 14:13,3/30/23 14:19,100,355,R_1PYkllaD5ZfQFpS,1,2,36,Male,male,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,2,,,,,,1,,,2,,,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,6,80,40,5,5,6,1,
3/30/23 14:15,3/30/23 14:19,100,268,R_reEosZi4MpFMstr,1,2,25,Male,male,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,4,,4,,,,3,,,,,,,,,,,,,,,4,,,,,,,,,,,,,3,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,7,90,10,2,4,6,1,
3/30/23 14:15,3/30/23 14:21,100,340,R_24MFB7gKxGwBgiu,1,2,22,M,male,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,1,,,,,,2,2,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,,,,,3,,,,4,10,9,7,5,4,1,
3/30/23 14:16,3/30/23 14:22,100,355,R_1lg8MzXvFlDgeAe,1,2,50,female,female,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,3,,,,,,,2,,,,,,,,3,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,7,94,17,2,6,5,1,
