StartDate,EndDate,Progress,Duration (in seconds),ResponseId,consent,english_check,english_check_5_TEXT,age,gender_raw,gender ,ethnicity,ideology ,engage1,engage2,engage3,dismiss1,dismiss2,dismiss3,gun_stance,climate_stance,vax_race_stance,tax_stance,vaccine_stance,extreme_stance,rating explanation,quality_check ,comments,stimuli,role
11/24/21 16:57,11/24/21 16:59,100,132,R_1DZRcF6XDoDD4QU,1,1,,21,Male,m,asian,3,53,63,65,84,54,56,2,2,1,2,2,1,n/a,1,,vignette,citizen
11/24/21 16:57,11/24/21 17:06,100,555,R_2alUbIw0vKaG7yQ,1,1,,43,Female,f,white,5,100,80,90,25,0,30,2,2,1,1,2,1,,1,,tweet,senator
11/24/21 17:07,11/24/21 17:10,100,176,R_Pv1oN3DNEZB8p4B,1,1,,26,female,f,white,1,59,30,59,71,60,71,2,2,1,2,2,1,,1,,tweet,citizen
11/24/21 17:08,11/24/21 17:12,100,212,R_2fDsCTbYgsdkTys,1,1,,27,female,f,asian,2,65,63,76,63,78,53,2,2,2,2,2,1,,1,,vignette,senator
11/24/21 17:10,11/24/21 17:13,100,181,R_2BbvJM1l6Gx9GZ7,1,1,,30,Female,f,white,2,46,78,52,53,82,47,2,2,2,2,2,1,,1,,tweet,senator
11/24/21 17:10,11/24/21 17:14,100,242,R_p3Q04cEryvO2HLP,1,1,,20,female,f,white,2,91,87,82,72,100,70,2,2,1,2,2,1,,1,,vignette,citizen
11/24/21 17:15,11/24/21 17:18,100,202,R_78MnJoJ8vrbi3Rf,1,1,,43,Male,m,black,2,51,40,39,62,71,62,2,2,2,2,2,1,,1,,tweet,senator
11/24/21 17:25,11/24/21 17:29,100,226,R_cBZn8J7Poi7eXWV,1,1,,62,Male,m,white,1,100,90,100,100,100,71,2,2,2,2,2,1,,1,,vignette,senator
11/24/21 17:22,11/24/21 17:29,100,444,R_2VvxFoEdpVg8WfI,1,1,,27,Female,f,white,4,100,25,100,40,50,30,2,2,2,2,2,1,I found this very interesting - some questions were difficult to answer for someone like me who is in the middle of the political spectrum. ,1,,vignette,citizen
11/24/21 17:27,11/24/21 17:32,100,265,R_3szZh7uegYtpTd0,1,1,,26,Female,f,asian,3,93,80,100,95,82,75,2,2,2,2,2,1,,1,,tweet,citizen
11/24/21 17:30,11/24/21 17:35,100,308,R_2zGahchhnvcxIcI,1,1,,31,Female,f,white,2,100,93,100,95,100,71,2,2,1,2,2,1,,1,,vignette,citizen
11/24/21 17:35,11/24/21 17:38,100,194,R_OuKSrenWOITYBdD,1,1,,34,female,f,white,2,100,99,100,90,100,100,2,2,2,2,2,1,,1,,tweet,senator
11/24/21 17:36,11/24/21 17:39,100,140,R_6Y9CmJWWTARzZ8l,1,1,,37,Female,f,white,3,73,66,67,49,41,39,2,2,2,1,2,2,,1,,vignette,citizen
11/24/21 17:39,11/24/21 17:41,100,117,R_2al7CiuLfK3kJm6,1,1,,49,female,f,white,5,82,84,56,76,82,57,1,1,1,1,2,1,,1,,tweet,senator
11/24/21 17:39,11/24/21 17:41,100,94,R_3sofWr9XnU9BLVm,1,1,,39,male,m,white,4,56,49,32,43,57,49,1,2,1,2,2,1,,1,,vignette,citizen
11/24/21 17:38,11/24/21 17:41,100,171,R_25MV94UUL5VvtPB,1,1,,22,Female,f,white,1,20,40,70,93,36,50,2,2,2,2,2,1,,1,,tweet,citizen
11/24/21 17:37,11/24/21 17:41,100,245,R_3saWiNzDFt5RVsC,1,1,,25,Male,m,asian,3,60,50,60,70,70,50,2,2,2,2,2,1,,1,,vignette,senator
11/24/21 17:34,11/24/21 17:41,100,428,R_1dpg7JIRhONIWgd,1,1,,23,female,f,white,2,89,67,87,79,93,68,2,2,1,2,2,2,,1,,tweet,senator
11/24/21 17:39,11/24/21 17:42,100,189,R_27Wp45qCbksE4Vl,1,1,,60,Female,f,white,1,100,100,90,100,100,75,2,2,2,2,2,1,,1,,vignette,citizen
11/24/21 17:37,11/24/21 17:44,100,387,R_ebQtAmexdsq0ZYl,1,1,,20,male,m,asian,3,92,87,81,61,20,0,1,2,1,1,2,1,,1,,vignette,citizen
11/24/21 17:37,11/24/21 17:44,100,449,R_1GZJbcE1JJZLsMi,1,1,,41,female,f,white,2,82,81,60,79,77,75,2,2,1,2,2,1,,1,,tweet,citizen
11/24/21 17:41,11/24/21 17:45,100,234,R_1gto1rRAmbd9kjg,1,1,,54,female,f,white,2,82,76,92,76,88,77,2,2,2,2,2,1,,1,,vignette,senator
11/24/21 17:45,11/24/21 17:47,100,91,R_r6LvoDhCcWy3Mop,1,1,,31,male,m,white,3,60,69,63,62,63,39,2,2,2,2,2,1,,1,very controversial,vignette,senator
11/24/21 17:45,11/24/21 17:47,100,110,R_oYrhQgkY7HtvWGB,1,1,,29,Male,m,black,1,75,80,97,89,56,50,2,2,1,2,2,1,,1,,tweet,citizen
11/24/21 17:46,11/24/21 17:48,100,150,R_O10s8oC19xIlFS1,1,1,,25,Male,m,asian,2,35,40,65,55,65,65,2,2,1,2,2,1,,1,,vignette,citizen
11/24/21 17:45,11/24/21 17:49,100,273,R_5iJ1cWXdOw438K5,1,1,,48,female,f,white,4,85,76,94,39,38,40,2,2,2,1,2,1,,1,,vignette,citizen
11/24/21 17:36,11/24/21 17:49,100,820,R_1d7fJYifwvvIQUi,1,1,,45,Female,f,white,4,50,50,50,50,50,50,1,1,2,1,1,1,Anyone who believes in the two party system is crazy.  People need to wake up.  Thank you the survey was fine!,1,,vignette,senator
11/24/21 17:47,11/24/21 17:49,100,147,R_2ZVSttMLWsThpDq,1,1,,37,Male,m,white,2,80,83,79,88,84,75,2,2,1,2,2,1,,1,,tweet,citizen
