StartDate,EndDate,Progress,Duration (in seconds),ResponseId,consent,english_check,age,gender_raw,gender,party_affil,use_twitter,interact_senator,engage_1,engage_2,engage_3,engage_4,engage_5,engage_6,engage_7,engage_8,engage_9,engage_10,engage_11,engage_12,engage_13,engage_14,engage_15,engage_16,engage_17,engage_18,engage_19,engage_20,engage_21,engage_22,engage_23,engage_24,engage_25,dismiss_26,dismiss_27,dismiss_28,dismiss_29,dismiss_30,dismiss_31,dismiss_32,dismiss_33,dismiss_34,dismiss_35,dismiss_36,dismiss_37,dismiss_38,dismiss_39,dismiss_40,dismiss_41,dismiss_42,dismiss_43,dismiss_44,dismiss_45,dismiss_46,dismiss_47,dismiss_48,dismiss_49,dismiss_50,dismiss_51,dismiss_52,dismiss_53,dismiss_54,dismiss_55,dismiss_56,dismiss_57,dismiss_58,dismiss_59,dismiss_60,dismiss_61,dismiss_62,dismiss_63,dismiss_64,dismiss_65,dismiss_66,dismiss_67,dismiss_68,dismiss_69,dismiss_70,dismiss_71,dismiss_72,dismiss_73,dismiss_74,dismiss_75,dismiss_76,dismiss_77,dismiss_78,engage_79,engage_80,engage_81,engage_82,engage_83,engage_84,engage_85,engage_86,engage_87,engage_88,engage_89,engage_90,engage_91,engage_92,engage_93,engage_94,engage_95,engage_96,engage_97,engage_98,engage_99,engage_100,engage_101,engage_102,engage_103,engage_104,engage_105,engage_106,dismiss_107,dismiss_108,dismiss_109,dismiss_110,dismiss_111,dismiss_112,dismiss_113,dismiss_114,dismiss_115,dismiss_116,dismiss_117,dismiss_118,dismiss_119,dismiss_120,dismiss_121,dismiss_122,dismiss_123,dismiss_124,dismiss_125,dismiss_126,dismiss_127,dismiss_128,dismiss_129,dismiss_130,dismiss_131,dismiss_132,dismiss_133,dismiss_134,dismiss_135,dismiss_136,dismiss_137,dismiss_138,dismiss_139,dismiss_140,dismiss_141,dismiss_142,dismiss_143,dismiss_144,dismiss_145,dismiss_146,dismiss_147,dismiss_148,dismiss_149,dismiss_150,dismiss_151,dismiss_152,dismiss_153,dismiss_154,dismiss_155,dismiss_156,dismiss_157,dismiss_158,dismiss_159,dismiss_160,dismiss_161,dismiss_162,dismiss_163,dismiss_164,dismiss_165,dismiss_166,dismiss_167,dismiss_168,dismiss_169,dismiss_170,dismiss_171,dismisses,engages,dif,quality_check
1/25/22 17:48,1/25/22 17:48,100,29,R_3FOOAFlqu4qDpKO,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/22 17:55,1/25/22 18:00,100,257,R_2cbgfWRw9WvnUJc,1,2,18,Male,m,2,yes,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,65,,,,,80,,,,,,,,,,58,,62,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,50,,,,,,,60,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,60,,,,56.6,65.2,8.6,1
1/25/22 17:58,1/25/22 18:01,100,183,R_2CeLyUCdMEMdxa2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/22 18:04,1/25/22 18:11,100,447,R_3Puyd6YlFktLtdO,1,2,44,Female,f,3,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,90,,,,,65,,,,,,,,100,,,,,,,,90,,,,,80,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,85,,,,,,,,,,,,,,,,70,,,,,,,,,100,,,,,,84.4,89,4.6,1
1/25/22 18:06,1/25/22 18:12,100,363,R_Os7V2pFpQ8I8SaJ,1,2,31,Male,m,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,65,,,,,71,,58,,,,,,56,,,,,,,,,,,,,,71,,,,,,87,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,60,60,,,,,,,,,,,,,69.6,61,-8.6,1
1/25/22 18:09,1/25/22 18:13,100,256,R_1oyXCnZvRz8IEmO,1,2,29,female,f,2,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,65,,,68,,,,,,,,,61,,,,,,,51,,,,,,,,,,,64,,,,,,,,,,,,,,,63,,,,,,,,,,,,,70,,,,,,,,,,54,,,,,,,62,,,,,,,,,,62.6,63.8,1.2,1
1/25/22 18:07,1/25/22 18:16,100,537,R_cOrOU2lZGCNalFL,1,2,42,Female,f,1,yes,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,70,,,,,,,,,81,,69,,,,80,,,,,,,,,,,,,,9,,,,,,,,,50,,,,,,,,,,90,,,,,,,,,,,,,60,,,,,,,,,,,,,60,,,,,,,,,,,,53.8,76,22.2,1
1/25/22 18:14,1/25/22 18:18,100,220,R_3qBXmOZjFN7BwaJ,1,2,40,female,f,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,90,,,,,,60,,,,,,54,,,,30,,,,,55,,,,,,,,,,,,90,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,95,,,,,,,,,84,58.8,-25.2,1
1/25/22 18:14,1/25/22 18:21,100,424,R_28YbcIQBrB55ki1,1,2,30,Female,f,4,yes,yes once,,,,,70,,,,,88,59,,,,,,,80,,,,,,,75,,,,,85,,,,,,,,,86,,,,,,,,,,,,,,,91,,,,,,,,95,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8,74.4,-7.4,1
1/25/22 18:04,1/25/22 18:23,100,1125,R_2rhVsnRnPjl3RqR,1,2,25,male,m,2,yes,yes regularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,74,,,,60,,,,,,,,47,,,,,65,,,,,,,,,,,,,,83,,,,,44,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,72,,,,,67.4,63.2,-4.2,1
1/25/22 18:18,1/25/22 18:23,100,353,R_2tUo3mAjfHv2euR,1,2,23,Female,f,3,yes,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,83,,,,85,,,,,94,,,,,,,91,,90,,,,,,,,,,,,,,,,,,,,88,,,,,,,,84,,,,,,,,,,,,,,,,,81,,,,,,,83,,,,,,,,,,,,,85.2,85.6,0.4,1
1/25/22 18:18,1/25/22 18:24,100,361,R_31tQwg8bebdXKh7,1,2,29,Female,f,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,79,,,,,,55,,,,,,,,,60,,,,70,,,,,,,,,,,,61,,,,,,,,,62,,,,,,,,,,,,,,,,,91,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,50,66.2,68.6,2.4,1
1/25/22 18:22,1/25/22 18:27,100,275,R_3MDqpYgMaYtTTNU,1,2,36,male,m,2,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,75,,,,,,41,,50,,,,,,,,,75,,,,,,,,,,,,,,90,,,,,,,,,88,,,,,,,,,70,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,87,,,79,58.2,-20.8,1
1/25/22 18:24,1/25/22 18:28,100,218,R_pn72cmVhW5qn5tf,1,2,33,Female,f,2,yes,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,77,,,,,,,85,,,,,91,,,84,,,,,,,,83,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,68,,,,,,,,,,,,,,,81,,,,,77,,,,,,,,,,,80,83.8,3.8,1
1/25/22 18:26,1/25/22 18:29,100,180,R_268sHEBZhCDOCJj,1,2,25,female,f,2,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,70,,,,70,,,70,,,,,,,,,,71,,,,,,80,,,,,,,,,,,,,,75,,,,,,,,81,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,62,,,,,75.6,72.2,-3.4,1
1/25/22 18:21,1/25/22 18:32,100,690,R_2yeVWU4cvOZ6ZJw,1,2,31,female,f,1,yes,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,75,,,,,90,,,,,100,,,,,,80,,,,,,,,,,,77,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,100,,,,,,100,,,,,,,,95.4,89,-6.4,1
1/25/22 18:22,1/25/22 18:32,100,630,R_33yuJLJI6vHQk0X,1,2,28,Female,f,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,90,,,,,,,,75,,,,,,70,,,,,85,,,,,,,,,,,,,,80,,,90,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,70,,83,80,-3,1
1/25/22 18:28,1/25/22 18:34,100,342,R_3oLSfr6u6Ast3pM,1,2,28,female,f,1,yes,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,50,,29,,,,,,29,,,,,,,,26,,,,,,,,81,,,,,,,,,,,,,,,,64,,,,,,,,,,,45,,,,,,,,,,,,,,,28,,,,,,,,,,,,,30,,,,49.6,36.8,-12.8,1
1/25/22 18:24,1/25/22 18:34,100,580,R_r8QfRfmBHF1v10R,1,2,20,female,f,4,yes,yes once,57,,,,,,16,,,,,,46,,,69,,,,,,,41,,,,,,,,,,,,,16,38,,,,,,,,,,,,,,,,,,,,36,,,50,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,45.8,14.4,1
1/25/22 18:27,1/25/22 18:35,100,463,R_2CDpFx5j3wPGJCH,1,2,41,Female,f,6,yes,no,,,,50,,50,,,,,,,,48,,,,,55,,83,,,,,,,,,,,,,,55,,,,,,,,91,,,,,,,,50,,,,,,,88,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,57.2,-8.6,1
1/25/22 18:24,1/25/22 18:36,100,697,R_2YkZkcYAh2yHFRq,1,2,35,Cisgender Male,m,1,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,81,,,,75,,,,,,,,,81,,,,90,,,,,,72,,,,,,,,,,,,,78,,,,,,,,,,,,,,,100,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,100,,,,,88.6,81.4,-7.2,1
1/25/22 18:25,1/25/22 18:36,100,671,R_1GHUgG8s8A8KSOi,1,2,36,female,f,4,yes,no,,20,,,,,,50,,,,30,,,,,,,,60,,,,40,,,,,,,,,20,,,,,,,,,55,,,,,30,,,,,,,,,,,,,,,,,,,20,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,40,11,1
1/25/22 18:24,1/25/22 18:38,100,830,R_26kDU2hoer6KdDq,1,2,26,female,f,2,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,52,,,,,,,,81,,,,80,,,,50,,,,,,,,,,74,,,,,,,,,,,,,,87,,,,,,,,,,,,,50,,,,,,,,,,,,,,,100,,,,,62,,,,,,,,,,,,,74.6,63,-11.6,1
1/25/22 18:34,1/25/22 18:39,100,298,R_ZyGxl3WecMRe6D7,1,2,52,Female,f,5,yes,no,,,81,,,,,,100,,,,,,61,,64,,,,,92,,,,60,,,,,,,,,,,,,,,,,,80,,,,,,,,70,,,,,,,,,,,,,,,91,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,79.6,1.2,1
1/25/22 18:28,1/25/22 18:39,100,685,R_2D5DjkbnHBoPqWm,1,2,38,male,m,2,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,86,,,,,93,,,68,,,,,,,95,,,,,,,56,,,,,,,,,,,,,,,,,,,,,53,,,,,,,67,,,,,,,,84,,,,,,,,,,,,,,,,,,,100,,,,,,,72,87.2,15.2,1
1/25/22 18:39,1/25/22 18:41,100,157,R_2SAKqAUuv4CYhJ7,1,2,41,Female,f,3,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,62,,,,67,,,,,,74,,,,,,,61,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,48,,,,,,,,,,,,,,41,,,40,,,,,,,,,,,48.2,62.8,14.6,1
1/25/22 18:38,1/25/22 18:42,100,247,R_2uvWLCTlq18TO7O,1,2,20,Male,m,4,yes,yes once,,,71,,,,,,,57,,,,,55,,,,,50,,,55,,,,,,60,,,,,,,,,,,28,,,,,,,,,,,,,,,40,,,,,,54,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,57.6,15.2,1
1/25/22 18:34,1/25/22 18:42,100,526,R_3CT60bSIwtYgwaP,1,2,24,female,f,1,no,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,50,,,90,,,,,,,,,70,60,,,,,,,,,,,,50,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,100,,,,,,,,,,,40,,,,,,,,,,70,,,,,,,,64,62,-2,1
1/25/22 18:40,1/25/22 18:44,100,262,R_1KqzipEIzU9yuFO,1,2,34,Female,f,1,no,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,65,,,,60,,,,,,70,,,,,,,,61,,,,,,,,,,,,,71,,,,,,,,,,,,86,,,,,,,,,,,,,,,70,,,,95,,,,,,,,,,,,,,,,,95,,,,,,83.4,63.4,-20,1
1/25/22 18:39,1/25/22 18:44,100,325,R_2ZV61GYPq0ZN2oI,1,2,29,female,f,1,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,75,,,,80,,,,,,,,85,,,,,85,,,,,,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,100,100,85,-15,1
1/25/22 18:19,1/25/22 18:46,100,1646,R_2QKFNDmORrkfcfR,1,2,27,Male ,m,2,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,43,,,,,,,,,60,,,55,,,,,,,,,50,,,,,65,,,,,,,,,,,,,,,,,,,82,,,,,,52,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,80,,,,,,64,51.8,-12.2,1
1/25/22 18:42,1/25/22 18:47,100,323,R_2aVy6xxpgyS5P1c,1,2,40,Male,m,3,yes,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,85,,55,,,,,,,,,,60,,80,,,,,,,,,,,,,50,,,,,,,,,,,,40,,,,,,,,60,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,50,,,48,70,22,1
1/25/22 18:40,1/25/22 18:48,100,464,R_4ZojrYjgQnDnUE9,1,2,36,Female,f,3,yes,yes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,90,,,,,,,,100,,,,,,85,,,,,75,,,,80,,,,,,,,,,,,,80,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,80,,,,72,89,17,1
1/25/22 18:47,1/25/22 18:48,100,100,R_23fcsMkjVE55Z4B,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
