StartDate,EndDate,Progress,Duration (in seconds),ResponseId,consent,english_check,age,gender_raw,gender,party_affil,ideology,use_twitter,interact_senator,engage_1,engage_2,engage_3,engage_4,engage_5,engage_6,engage_7,engage_8,engage_9,engage_10,engage_11,engage_12,engage_13,engage_14,engage_15,engage_16,engage_17,engage_18,engage_19,engage_20,engage_21,engage_22,engage_23,engage_24,engage_25,dismiss_26,dismiss_27,dismiss_28,dismiss_29,dismiss_30,dismiss_31,dismiss_32,dismiss_33,dismiss_34,dismiss_35,dismiss_36,dismiss_37,dismiss_38,dismiss_39,dismiss_40,dismiss_41,dismiss_42,dismiss_43,dismiss_44,dismiss_45,dismiss_46,dismiss_47,dismiss_48,dismiss_49,dismiss_50,dismiss_51,dismiss_52,dismiss_53,dismiss_54,dismiss_55,dismiss_56,dismiss_57,dismiss_58,dismiss_59,dismiss_60,dismiss_61,dismiss_62,dismiss_63,dismiss_64,dismiss_65,dismiss_66,dismiss_67,dismiss_68,dismiss_69,dismiss_70,dismiss_71,dismiss_72,dismiss_73,dismiss_74,dismiss_75,dismiss_76,dismiss_77,dismiss_78,engage_79,engage_80,engage_81,engage_82,engage_83,engage_84,engage_85,engage_86,engage_87,engage_88,engage_89,engage_90,engage_91,engage_92,engage_93,engage_94,engage_95,engage_96,engage_97,engage_98,engage_99,engage_100,engage_101,engage_102,engage_103,engage_104,engage_105,engage_106,dismiss_107,dismiss_108,dismiss_109,dismiss_110,dismiss_111,dismiss_112,dismiss_113,dismiss_114,dismiss_115,dismiss_116,dismiss_117,dismiss_118,dismiss_119,dismiss_120,dismiss_121,dismiss_122,dismiss_123,dismiss_124,dismiss_125,dismiss_126,dismiss_127,dismiss_128,dismiss_129,dismiss_130,dismiss_131,dismiss_132,dismiss_133,dismiss_134,dismiss_135,dismiss_136,dismiss_137,dismiss_138,dismiss_139,dismiss_140,dismiss_141,dismiss_142,dismiss_143,dismiss_144,dismiss_145,dismiss_146,dismiss_147,dismiss_148,dismiss_149,dismiss_150,dismiss_151,dismiss_152,dismiss_153,dismiss_154,dismiss_155,dismiss_156,dismiss_157,dismiss_158,dismiss_159,dismiss_160,dismiss_161,dismiss_162,dismiss_163,dismiss_164,dismiss_165,dismiss_166,dismiss_167,dismiss_168,dismiss_169,dismiss_170,dismiss_171,dismisses,engages,dif,quality_check,comments
3/18/22 11:30,3/18/22 11:36,100,361,R_2QxlbvN9Xaqo9HA,1,2,25,female,f,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,74,,,,,,71,,,,,,72,,66,,,,,,,,,,,,74,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,81,,,,,,,,78,,,,,,,,,,,,,,,,,,79,,,,78.6,67.8,-10.8,1,
3/18/22 11:39,3/18/22 11:42,100,179,R_22yRZWXfhffEqZT,1,2,33,male,m,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,3,,,,,,72,,,,,93,,,,,,,,,91,,,,,,,,,,,,,87,,,,,,,,,99,,,,,,,,,,,,,,,,100,,,,,,,,,100,,,,,,,,,,,,100,,,,,,,97.2,67.2,-30,1,
3/18/22 11:50,3/18/22 11:54,100,271,R_wXYQw5ZzyInEn5L,1,2,20,Female,f,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,60,,100,,,,,,,,,60,,,,,60,,,,,,,,,,,,60,,,,,61,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,60,,62.2,66,3.8,1,
3/18/22 12:00,3/18/22 12:06,100,341,R_3J3h5yTUzZ9y4BK,1,2,46,non-binary,non-binary ,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,86,,,,,83,,,,78,,,,,76,,,,,,,,99,,,,,,,,,,,,,,,,81,,,,,,,,,90,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,91,,,89.4,81.8,-7.6,1,No comments at this time.
3/18/22 12:10,3/18/22 12:16,100,321,R_3CVJFxmfUn2hA2R,1,2,20,Female,f,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,69,,,,,82,,,,72,,,,,,,,,56,,,,,,,,,,,,,55,,,,,,,,70,,,,,,,,,,,75,,,,,,,,,,,89,,,,,,,,,,,,,,,,92,,,,,,,,76.2,73,-3.2,1,
3/18/22 12:20,3/18/22 12:25,100,314,R_1JLXqEEuxJ1Avd5,1,2,28,female,f,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,71,,,,,,,,,70,,,,,,83,,65,,,,,,,,,,,,,77,,,,,,,,,,51,,,,,,,,,,,,,,64,,,,,,,,,,81,,,,,,,,,,,,,,80,,,,,,,,,70.6,75.6,5,1,
3/18/22 12:25,3/18/22 12:30,100,338,R_2dJV7O3YBXLppXT,1,2,37,trans man,trans man,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,90,,,,43,,,,,,83,,,,,61,,,,,,,,,,,,77,,,,,,,,,,80,,,,,,,,,,,,,,,,88,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,49,78,62,-16,1,
3/18/22 12:31,3/18/22 12:31,100,31,R_2SHLHuKbrjbRe72,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/22 12:33,3/18/22 12:33,100,24,R_129kaCi8haZFOGu,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/22 12:35,3/18/22 12:39,100,285,R_1d4sguTBWEcoc9z,1,2,25,female,f,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,44,,,,94,,,,,,,,,,23,,,,53,,,,,,48,,,,,,,,,,,,,,,,,,,46,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,46,,56,,,,,,,,,,,,49.8,48.4,-1.4,1,
